questionText,options[0],options[1],options[2],options[3],correctAnswer
Oldest bank in the world is located in__________?,A. UK,B. Spain,C. Italy,D. China,C. Italy
Which of the following countries hosted the first South Asian Games in 1983?,A. Pakistan,B. Nepal,C. Bangladesh,D. Srilanka,B. Nepal
Who wrote the book “An inquiry into the Nature”?,A. Charles Darwin,B. Adam Smith,C. Alexander Fleming,D. Albert Einstein,B. Adam Smith
Where is the Headquarter of International Tennis Federation?,A. Madrid,B. London,C. Paris,D. New York,B. London
The basic number of alphabets in Urdu Language are:,A. 36,B. 37,C. 38,D. 39,D. 39
Which American Ambassador died along with President Zia-ul-Haq in plane crash 1988 ?,A. Tom Simon,B. Robert Milam,C. Arnold Palmer,D. Arnold Raphael,D. Arnold Raphael
The largest river of Balochistan ?,A. Porali river,B. Dasht river,C. Hungol river,D. Hub river,C. Hungol river
The Study of human beauty is called____________?,A. Oncology,B. Agrostology,C. Kalology,D. Argology,C. Kalology
Which plant is important in sericulture?,A. Pea,B. Cassia,C. Mulberry,D. Legumes,C. Mulberry
Yemen shares border with Saudi Arabia and_______?,A. Oman,B. Iran,C. Iraq,D. None of these,A. Oman
First Tuesday of May is observed as___________?,A. World Asthma Day,B. Global Family Day,C. World Kidney Day,D. World Immunization Day,A. World Asthma Day
The Mansabdari system introduced by Akbar was borrowed from the system followed in________?,A. Persia,B. Mongolia,C. Turkey,D. Afghanistan,B. Mongolia
13 – Chambered heart occurs in________?,A. Leech,B. Earthworm,C. Snail,D. Cockroach,D. Cockroach
Name the continent where ‘Tundra’ type of climate is not found?,A. Europe,B. Asia,C. Africa,D. North America,C. Africa
What is the name of the tropical cyclones in the China Sea?,A. Hurricanes,B. Tornado,C. Typhoon,D. Twister,C. Typhoon
‘The Economy of Modern Sindh’ book is written by___________?,A. Dr Hamida Khuhro,B. Ayaz Latif Palejo,C. Dr Ishrat Hussain,D. None of above,C. Dr Ishrat Hussain
‘The Heros of Sindh’ & ‘Struggle for New Sindh’ are written by_________?,A. Dr Hamida Khuhro,B. GM Syed,C. Rasool Bux Paleejo,D. None of above,B. GM Syed
‘A Nation in chains’ book is written by___________?,A. Ayaz Latif Palejo,B. Hameeda Khuhro,C. Shaikh Ayaz,D. GM Syed,D. GM Syed
The term “Maoris” is used for aboriginal people of_________?,A. New Zealand,B. Tasmania,C. Honduras,D. Indian,A. New Zealand
Which are called the Bretton Woods sisters?,A. FAO & IMF,B. IMF & IBRD,C. WB & IMF,D. ILO & FAO,C. WB & IMF
NATO also known as_________?,A. Defense Treaty,B. Washington Treaty,C. Geneva Treaty,D. Warsaw Traety,B. Washington Treaty
Basmati is a type of _________?,A. Wheat,B. Rice,C. Barley,D. None of the Above,B. Rice
In which year was the football World Cup held for the first time?,A. 1928,B. 1930,C. 1924,D. 1932,B. 1930
Which country won the first football World Cup?,A. Brazil,B. Germany,C. Uruguay,D. Argentina,C. Uruguay
Which one of the following types of glass can cut ultraviolet?,A. Jena glass,B. Soda glass,C. Pyrex glass,D. Crookes glass,D. Crookes glass
GRU military intelligence agency belong to which country?,A. Germany,B. Brazil,C. Russia,D. Mongolia,C. Russia
Federal Security Service is a secret agency of which country?,A. Russia,B. Australia,C. New Zealand,D. South Africa,A. Russia
The Umbrella Street movement is related to_________?,A. Iraq,B. Hong Kong,C. France,D. Iran,B. Hong Kong
Which of the following is the narrowest strait of the world?,A. Malacca Strait,B. Palk Strait,C. Strait of Tartar,D. Strait Yucatan,C. Strait of Tartar
Hippocratic Oath is related with_________?,A. Arts,B. Engineering,C. Medicine,D. Business,C. Medicine
Who created the first Map of the World?,A. Anaximander,B. Holfamn,C. Nicholas,D. Mike Donald,A. Anaximander
Indus valley people worshiped?,A. Sun,B. Fire,C. Mother goddess,D. water,C. Mother goddess
On 18th May 1974 India exploded first nuclear devise under the code name of___________?,A. Operation Blue Star Rakshak,B. Operation Gibraltar,C. Operation Smiling Buddha,D. Operation India Big,C. Operation Smiling Buddha
IMF & World Bank are created through ?,A. Yalta Conference,B. New Deal,C. Treaty of Versailles,D. Bretton Woods Agreement,D. Bretton Woods Agreement
What is total membership of US Senate?,A. 100,B. 102,C. 104,D. 109,A. 100
Which organisation publishes ” Global Risk Report”?,A. World Bank,B. IMF,C. UNDP,D. World Economic Forum,D. World Economic Forum
Which Organisation Publishes “World Economic Outlook”?,A. World Bank,B. IMF,C. UNDP,D. World Economic Forum,B. IMF
Which organisation publishes “World Development Report”?,A. IMF,B. WEF,C. World Bank,D. UNDP,C. World Bank
International Civil Aviation Day is observed on ____________?,,,,,7 December
Which UN Organization has won twice nobel prize for peace?,A. IFAD,B. ILO,C. UNHCR,D. All of above,C. UNHCR
When Iran Iraq war was ended?,"A. August 20, 1986","B. August 20, 1987","C. August 20, 1988","D. August 20, 1989","C. August 20, 1988"
"Which country is the world’s largest producer of cobalt, a chemical element?",A. Nigeria,B. South Africa,C. Botswana,D. Congo,D. Congo
The World Soil Day is celebrated on_________?,A. 4th December,B. 5th December,C. 6th December,D. 7th December,B. 5th December
Which city is known as the ‘City of ghosts and temples’?,A. Lahore,B. Paris,C. Banaras,D. Delhi,C. Banaras
Which country is the most emitter of carbon dioxide from 2018?,A. India,B. USA,C. China,D. Brazil,C. China
Which country has the most World Heritage sites With 55 sites?,A. Egypt,B. Italy,C. Syria,D. India,B. Italy
The World AIDS Day is observed ?,A. 1 December,B. 2 December,C. 3 December,D. None of these,A. 1 December
The International Day for the Abolition of Slavery observed?,A. 1st December,B. 2nd December,C. 3rd December,D. None of these,B. 2nd December
How many white stars have on Flag of Kosovo __________ ?,A. Five Stars,B. Six Stars,C. Seven Stars,D. Eight Stars,B. Six Stars
The World Disability Day observed every year on____________?,A. 1st December,B. 2nd December,C. 3rd December,D. 4th December,C. 3rd December
“Shewala Teja singh temple” reopened after 72 years. it is located in _______ city of Pakistan.,A. Multan,B. Sialkot,C. Faislabad,D. Sheikhupura,B. Sialkot
Which is the biggest Library of the World?,A. Library of Congress,B. British Museum Library,C. National Library of Pakistan,D. Alexandra Library,A. Library of Congress
South Yemen becomes independent from the United Kingdom in _________ ?,A. October 1966,B. November 1967,C. December 1969,D. None of these,B. November 1967
ASIS is a secret agency of which country?,A. Australia,B. China,C. Pakistan,D. Canada,A. Australia
Who was known as “Citizen King” of France?,A. Napoleon,B. Henry VI,C. Louis Phillipe,D. None of the above,C. Louis Phillipe
Which Regiment of Pakistan Army has awarded maximum number of Nishan-e-Haider?,A. Balochistan Regiment,B. Punjab Regiment,C. Sindh Regiment,D. Pakhtunkhuwah Regiment,B. Punjab Regiment
Who credited the invention of AK-47 assault rifle ?,A. Samuel Colt,B. Afred Nobel,C. Mikhail Kalashnikov,D. Henry Akinson,C. Mikhail Kalashnikov
The Third Battle of Panipat was fought bewteen Ahmad Shah Abdali & Marathas on_________?,A. 4 January 1761,B. 14 January 1761,C. 24 February 1526,D. 4 March 1556,B. 14 January 1761
City of Hot Weather is known as____________?,A. Thar,B. Larkana,C. Jacobabad,D. Dadu,C. Jacobabad
Which city is called the Gateway of Pakistan?,A. Gawadar,B. Keti Bander,C. Kashmor,D. Karachi,D. Karachi
When did Tipu Sultan died?,"A. May 4, 1799","B. May4, 1899","C. May4, 1699",D. None of these,"A. May 4, 1799"
Last Guru in Sikhism was__________?,A. Guru Amar Das,B. GuruRam Das,C. Guru Gobind,D. Guru Arjan,C. Guru Gobind
Famous city ‘Aberdeen’ is city of which country?,A. America,B. Japan,C. Scotland,D. Australia,C. Scotland
International Men’s day is Celebrated Every Year on ______________?,A. 19 September,B. 19 October,C. 19 November,D. 19 December,C. 19 November
The apex Elected body in Israel is called__________?,A. Parliament,B. Congress,C. Knesset,D. Batheling,C. Knesset
Which European country is not member of European Union ?,A. Switzerland,B. France,C. Netherlands,D. Belgium,A. Switzerland
Which is the national game of Tajikistan?,A. Hockey,B. Football,C. Gushtigiri,D. Buzkashi,C. Gushtigiri
Sultan Ahmed Mosque in Istanbul is popularly known as the____________?,A. Green Mosque,B. Blue Mosque,C. Red Mosque,D. Yellow Mosque,B. Blue Mosque
Which of the following countries becomes first in Africa to launch high speed train 320Km/h?,A. South Africa,B. Egypt,C. Morocco,D. Tunesia,C. Morocco
AGI is a news agency of which country?,A. Poland,B. Italy,C. Georgea,D. Greece,B. Italy
Baifra is a news agency of which country?,A. Nigeria,B. Chad,C. Ghana,D. Egypt,A. Nigeria
Which of the following country has world’s largest Banknote?,A. Philippines,B. Russia,C. France,D. Argentina,A. Philippines
GPEI is abbreviation for ____________?,A. Global Positional Environmental Initiative,B. Global Program for Environmental Initiative,C. Global Program for Environmental Index,D. Global Polio Eradication Initiative,D. Global Polio Eradication Initiative
The first Blackberry smartphone was released in year ____________?,A. 1998,B. 1999,C. 2000,D. 2002,B. 1999
BEAR is the symbol of _________?,A. Italy,B. RUSSIA,C. INDIA,D. FRANCE,B. RUSSIA
“Rood e Kausar” is written by ___________?,A. Shaikh Mohammad Ali,B. Shaikh Mohammad Ghani,C. Shaikh Mohammad Abdullah,D. Shaikh Mohammad Ikram,D. Shaikh Mohammad Ikram
Statue of liberty was gifted to America by _________ on __________?,A. Russia – 1 January 1886,B. Egypt – 21 June 1886,C. Japan – 11 September 1886,D. France – 28 October 1886,D. France – 28 October 1886
Manghopir named after ____________.?,A. Sufi Pir Haji Syed Mohammad Sultan,B. Sufi Pir Haji Syed Ahmed Sultan,C. Sufi Pir Haji Syed Qutub Sultan,D. Sufi Pir Haji Syed Sakhi Sultan,D. Sufi Pir Haji Syed Sakhi Sultan
Which English ambassador came to India during the time of Jahangir?,A. Sir Thomas White,B. Sir Thomas Lu,C. Sir Thomas Jefferson,D. Sir Thomas Roe,D. Sir Thomas Roe
The Sakhalin Island is disputed between ___________.?,A. China & Japan,B. China & Taiwan,C. Japan & Korea,D. Japan & Russia,D. Japan & Russia
Which country in South Asia has the highest literacy rate?,A. Pakistan,B. India,C. Maldives,D. Nepal,C. Maldives
First Blind Cricket World Cup won by__________?,A. India,B. Pakistan,C. Sri Lanka,D. England,A. India
In which city of India Nuclear Accident was Happened?,A. Tamil Nadu,B. Tarapur,C. Delhi,D. Mumbai,B. Tarapur
Adidas Abiba is a city of___________?,A. Sudan,B. Ethiopia,C. Morocco,D. Nigeria,B. Ethiopia
The tenure of Judge of International Court of Justice is:,A. 5 Years,B. 6 Years,C. 9 Years,D. 10 Years,C. 9 Years
Falklands War was fought between UK and____________?,A. USA,B. Argentina,C. Russia,D. France,B. Argentina
Who is the National Artist of Pakistan?,A. Sadequain Naqqash,B. Abdul Rehman Chughtai,C. Abdul Rahim Nagori,D. Lubna Agha,B. Abdul Rehman Chughtai
World Toilet Day is celebrated on_________?,A. 10 November,B. 14 November,C. 19 November,D. 23 November,C. 19 November
Babri Masjid incident was occurred on __________?,A. 6 December 1987,B. 6 December 1990,C. 6 December 1992,D. None of these,C. 6 December 1992
The first conqueror of the world’s second highest mountain K2 was____________?,A. French,B. Pakistani,C. American,D. Italian,D. Italian
China-Pakistan Economic Corridor (CPEC) starts at__________?,A. Beijing,B. Shanghai,C. Kashgar,D. Xinjiang,C. Kashgar
"Jare Ijalana, a girl from _________ is dubbed as the “Most beautiful girl in the world”?",A. Kenya,B. Nigeria,C. Ethiopia,D. None of these,B. Nigeria
The Kurdistan region spans over _____ countries?,A. 2,B. 3,C. 4,D. 5,C. 4
The two official languages of NATO are_______________?,A. English and French,B. English and German,C. English and Spanish,"D. English, French and German",A. English and French
The headquarter of Human Rights Watch (HRW) is located in_____________?,A. Washington,B. New York,C. Berlin,D. Brussels,B. New York
Which among the following country first reached the ‘Dark Side’ of the Moon?,A. Russia,B. USA,C. Germany,D. China,D. China
The World’s first underground railway system was built in___________?,A. New York,B. Berlin,C. Moscow,D. London,D. London
Grand Old Party is also known as _________?,A. The Republican Party,B. Liberal Part,C. Labour Party,D. Democratic Party,A. The Republican Party
What country did Benito Mussolini rule?,A. Germany,B. Russia,C. Italy,D. America,C. Italy
When UN day is Celebrated every Year?,A. 21 October,B. 22 October,C. 23 October,D. 24 October,D. 24 October
How many Judges are in the International Court of Justice (ICJ)?,A. 5,B. 10,C. 15,D. 20,C. 15
Which Country in the World has most Neighbors ?,A. Russia,B. USA,C. China,D. India,C. China
Fan was invented by___________?,A. Arthur Schimit,B. Alfered Nobel,C. Skaats Wheeler,D. None of these,C. Skaats Wheeler
Who is considered the first poet of Pashto Language?,A. Khushal Khan Khatak,B. Ameer Kror,C. Rahman Baba,D. None of these,B. Ameer Kror
The book ” Pakistan: the Formative Phase” was written by__________?,A. K. K. Aziz,B. Khalid Bin Saeed,C. Aitzaz Ahsan,D. Syed Ameer Ali,B. Khalid Bin Saeed
G.T Road was constructed by __________?,A. Altimush,B. Muhammad Taghluq,C. Feroz Taghluq,D. Sher Shah Suri,D. Sher Shah Suri
Which city of Sindh is famous for ‘Pallo’ (Fish)?,A. Dadu,B. Jamshoro,C. Hala,D. Sukkur,B. Jamshoro
The book ” The Sole Spokesman: Jinnah the Muslim and Demand for Pakistan” was written by___________?,A. Umera Ahmed,B. Ayesha Jalal,C. Liaquat Ali Khan,D. Aitzaz Ahsan,B. Ayesha Jalal
The book ” Friends not Masters” was written by____________?,A. Sir Syed Ahmed Khan,B. Liaquat Ali Khan,C. Zulfiqar Ali Bhutto,D. General Ayoub Khan,D. General Ayoub Khan
Shakespeare beach is located in which country?,A. France,B. USA,C. England,D. Canada,C. England
Which of the following was invented by Torricelli?,A. Clock,B. Airship,C. Barometer,D. Cotton gin,C. Barometer
Albert Einstein was a____________?,A. Physicist,B. Physician,C. Chemist,D. Biologist,A. Physicist
Bubo bubo is the scientific name of which of the following species?,A. Hen,B. Peacock,C. Eagle,D. Owl,D. Owl
Which day is celebrated on 4th February?,A. World Day of the Sick,B. World Alzheimer’s Day,C. World Day of Social Justice,D. World Cancer Day,D. World Cancer Day
Karakoram highway is also known as___________?,A. N-655,B. N-35,C. N-25,D. N-135,B. N-35
Who was Afghan ruler at the time of USSR invasion?,A. Hamid Karzai,B. Barbark Kermal,C. Hafizullah Amin,D. Haji Mohd Chamkani,C. Hafizullah Amin
Who is considered as the Leader of Modern Chinese Economy?,A. Deng Xiaoping,B. Li Kuwan Yu,C. Wang Yi,D. Xi Jing Ping,A. Deng Xiaoping
Kurd are large ethnic group Where they live?,A. Turkey and Iraq,B. Iran and Armenia,C. Syria,D. All of these,D. All of these
When was the Historic Quaid-i-Azam Ziarat Residency was set alight in an arson attack by militants?,"A. June 15, 2013","B. June 15, 2014","C. June 15, 2015","D. June 15, 2016","A. June 15, 2013"
World’s largest Copper producer is__________?,A. China,B. India,C. Chile,D. Russia,C. Chile
Which of the following flower is called Queen of Water?,A. Rose,B. Lilly,C. Rafflesia,D. Tulip,B. Lilly
What is the largest flower in the world?,A. Conifer,B. Fern,C. Rafflesia,D. Horsetail,C. Rafflesia
Who is the known as the father of taxonomy?,A. Aristotle,B. Fransco Redi,C. Carolus Linnaeus,D. Rachel Carson,C. Carolus Linnaeus
"The books “The Murder of History”, “The Pakistani Historian” and “Britain and Muslim India were written by________?",A. Khalid Bin Sayeed,B. Chudary Muhammad Ali,C. I.I Qureshi,D. K.K Aziz,D. K.K Aziz
Number of members required in Knesset (Israel’s assembly) to form government?,A. 60,B. 55,C. 63,D. 59,A. 60
What is the name of Israel’s Parliament?,A. National Assembly,B. General Council,C. KNESSET,D. Federal Parliament,C. KNESSET
When did the Soviet Union official break up ?,A. 26 September 1991,B. 26 December 1991,C. 26 September 1992,D. 26 December 1992,B. 26 December 1991
The World Mental Day is observed every years on_________?,A. 10 October,B. 11 October,C. 13 October,D. 14 October,A. 10 October
Which is the national game of Romania?,A. Bandy,B. Football,C. Oina,D. Destrezas Criollas,C. Oina
The world’s largest bird is_________?,A. Kori Bustard,B. Common Ostrich,C. King Penguin,D. Southern Cassowary,B. Common Ostrich
Which is the oldest search engine of the internet?,A. WebCrawler,B. Ask,C. Yahoo,D. Google,A. WebCrawler
Which country has the largest number of UNESCO World Heritage Sites?,A. China,B. France,C. Italy,D. Spain,C. Italy
"Which City name of Pakistan means,”The Forest in the Sky”??",A. Hunza,B. Chilas,C. Shugran,D. Gilgit,C. Shugran
What do the Initials IFAD stand?,A. International Fund for Airplane Development.,B. Indian Food Approval Department,C. International Food Approval Department,D. International Fund for Agricultural Development,D. International Fund for Agricultural Development
"We live on the planet Earth. According to the scientists, the Earth was formed about _____ years ago.",A. 4.6 million,B. 5.6 million,C. 4.5 billion,D. 5.6 billion,C. 4.5 billion
Name the author of ‘Kapas ka Phool’?,A. Mulavi Abdul Haq,B. Ahmed Nadeem Qasmi,C. Abdullah Hussain,D. Hosh Maleeh Abadi,B. Ahmed Nadeem Qasmi
"The deepest hole in the Earth, ‘Kola Superdeep Borehole’ on Russia’s Kola Peninsula, is about _____ feet deep.","A. 10,000","B. 20,000","C. 30,000","D. 40,000","D. 40,000"
Guarani is the currency of which country?,A. Berma,B. Peru,C. Paraguay,D. Belgium,C. Paraguay
"Yom Kippur, also known as the Day of Atonement, is the holiest day of the year in which religion?",A. Buddhism,B. Judaism,C. Christianity,D. Zoroastrianism,B. Judaism
Halle city located in which country?,A. France,B. Poland,C. Italy,D. Germany,D. Germany
Who wrote “The History of the Decline and fall of the Roman Empire?,A. Leo Tolstoy,B. Jorge Hudson,C. William Engels,D. Edward Gibbon,D. Edward Gibbon
The Largest Tree in the World is in___________?,A. Brazil,B. California,C. Africa,D. Pakistan,B. California
WTO hosts the first-ever World Cotton Day (WCD) on 07 October 2019 in ___________?,A. Islamabad,B. Cairo,C. Geneva,D. Vienna,C. Geneva
Nobel prize 2019 in physics has been awarded in which field?,A. laser,B. Cosmology,C. Neutrino Oscilliations,D. None of These,B. Cosmology
What is the theme of the 2019 edition of the World Tourism Day ( WTD)?,A. “Tourism and the Digital Transformation”,B. “Tourism and Jobs — A Better Future For All”,C. “sustainable tourism”,D. All of these,B. “Tourism and Jobs — A Better Future For All”
Who was the winner of Iran-Iraq war (1980-1988)?,A. Iran,B. Iraq,C. Libya,D. None of these,A. Iran
Political Philosopher Edmund Burke belonged to___________?,A. Usa,B. Russia,C. Britain,D. France,C. Britain
Edward Genner discovered ‘vaccine’ in___________?,A. 1796,B. 1978,C. 1686,D. 1933,A. 1796
The Nobel Prize in Chemistry 2019 was awarded for the development of ____________ batteries?,A. Nickel Cadmium batteries,B. Lead-Acid batteries,C. lithium-ion batteries,D. None of these,C. lithium-ion batteries
Who got Nobel Prize in Chemistry 2019?,A. John B. Goodenough,B. M. Stanley Wittingham,C. Akiroa yoshino,D. All of them,D. All of them
Which language is spoken by most people in the world as their primary language?,A. English,B. French,C. Arabic,D. Mandarin,D. Mandarin
Sher Shah Suri was a ___________?,A. Pashtun,B. Tajik,C. Turk,D. Uzbik,A. Pashtun
Rome was founded in which Year?,A. 463 BC,B. 892 BC,C. 753 BC,D. 303 BC,C. 753 BC
The study of Religions is called:___________?,A. Seismology,B. Theology,C. Gerontology,D. Etymology,B. Theology
How many countries have French as their official language?,A. 28 Countries,B. 29 Countries,C. 27 Countries,D. 30 Countries,B. 29 Countries
Who was the first Muslim President of Indian National Congress?,A. Shoib Hashmi,B. Badaruddin Tayyabji,C. A.K Azad,D. Nawab Syed Bahadur,B. Badaruddin Tayyabji
Capital of Uganda is___________?,A. Kampala,B. Luanda,C. Yerevan,D. Vienna,A. Kampala
Charles Franklin Kettering invented_____________?,A. Quick start,B. automobile self start,C. clock,D. lamp,B. automobile self start
Which is Pakistan rank in Miserable Countries Ranking 2018?,A. 16,B. 34,C. 40,D. 56,B. 34
Which Country is No.1 in Miserable Countries Ranking 2018?,A. Pakistan,B. Ethopia,C. Venezuela,D. Iraq,C. Venezuela
Imran Ahmed Khan Niazi was born on _____________?,A. 25 Oppctober 1952,B. 05 October 1952,C. 05 Novemver 1952,D. None of these,B. 05 October 1952
Kwame Nkrumah was one of the leaders of___________?,A. Aisia,B. Europe,C. Africa,D. None of these,C. Africa
Which is the correct Abbreviation of USA Republican Party?,A. UCR,B. GOP,C. RP,D. RPUS,B. GOP
In which year “the lion of maysor” (Tipu-sultan) was born?,"A. 21 November, 1750","B. 30 November,1749","C. 29 December, 1750",D. None of these,"A. 21 November, 1750"
Beginning of Mughal empire started after defeat of__________?,A. Ibrahim Lodhi,B. Momal Lodhi,C. Ranjeet Lodhi,D. None of these,A. Ibrahim Lodhi
John Garang de Mabior  is famous for:____________?,A. Sudanese politician and leader,B. German Free Democratic Party President,C. South African Poet,D. Non of these,A. Sudanese politician and leader
OPEC-Organization of Petroleum Exporting Countries headquarter is in__________?,A. Iran,B. Kuwait,C. Austria,D. Saudi Arab,C. Austria
Table Mountain is a flat-topped mountain which is in___________?,A. Rusia,B. Nepal,C. South Africa,D. Pakistan,C. South Africa
Most populated state of USA is _____________?,A. California,B. Texas,C. New York,D. Florida,A. California
Which country from following was known as Malagasy from ________to__________?,A. Malaysia 1985 to 1990,B. Bhutan 2000 to 2007,C. Peru 1999 to 2001,D. Madagascar 1958 to 1975,D. Madagascar 1958 to 1975
Book named “The Voice of Human Justice ” is biography of___________?,A. Hazrat Umer (R.A),B. Hazrat Ali (R.A),C. Hazrat Abu Bakr (R.A),D. Hazrat Usman (R.A),B. Hazrat Ali (R.A)
Who is Author of book ” The Voice of Human Justice “?,A. George Jordac,B. George Orwell,C. George Fulton,D. None of these,A. George Jordac
VEXILLOLOGY is the study of _________?,A. Behaviour,B. Books,C. Countries,D. Flags,D. Flags
The coin rupia was firstly issued by _________?,A. Sher Shah Suri,B. Akbar,C. Humayun,D. Alla-ud-din Khilji,A. Sher Shah Suri
International students day is celebrated on____________?,A. 11 November,B. 17 November,C. 19 November,D. 1 December,B. 17 November
City of Aleppo is the historical city centre of ________?,A. Iraq,B. Iran,C. Syria,D. Greece,C. Syria
“BBC”  Stands for_____________?,A. British Broadcasting Corporation,B. Britain Broadcasting Company,C. British-Broadcasting Company,D. None of these,A. British Broadcasting Corporation
Which of following country is situated below sea level?,A. Srilanka,B. UAE,C. Italy,D. Netherlands,D. Netherlands
“There is no God other than God and Muhammad is His Prophet” Is The National Motto of_________?,A. Saudi Arabia,B. Syria,C. Iraq,D. Egypt,A. Saudi Arabia
“GOD IS THE GREATEST” IS the Motto of_________?,A. Iraq,B. Turkey,C. Saudi Arabia,D. None of these,A. Iraq
“Nizar-Qabbani” is the National poet of__________?,A. Syria,B. Egypt,C. Iran,D. Saudi Arabia,A. Syria
Tbilisi is the capital of which country?,A. Georgia,B. Ethipia,C. Portugal,D. Lebanon,A. Georgia
The world’s largest glacier is the Lambert glacier in Antarctica. Its length in miles is________?,A. 260,B. 250,C. 280,D. none of these,B. 250
"The urs of Shah Abdul Latif  Bhittai was celebrated ________ on 14 Oct, 2019?",A. 273th,B. 274th,C. 275th,D. 276th,D. 276th
International Ozone Day is observed on ________?,A. September 13,B. September 14,C. September 15,D. September 16,D. September 16
” DAS ” is the intelligence agency of ________ ?,A. U.K,B. Israel,C. Russia,D. Colombia,D. Colombia
The World’s first Camel hospital is located in __________?,A. Jeddah,B. Tehran,C. Dubai,D. Thar,C. Dubai
"RSS ideology followed by Indian Pm Modi, What does RSS stand for?",A. Rashtriya Swayamsevak Sangh,B. Rashtriya Swayamsevak Sabha,C. Rashtriya Swayamsevak Singh,D. All of the above,A. Rashtriya Swayamsevak Sangh
"According to United Nations latest estimate of 2019, Pakistan population is equivalent to ________ of the total world population?",A. 2.51%,B. 2.61%,C. 2.71%,D. 2.81%,D. 2.81%
When did Shams-ud-din Altamash die?,A. 1236,B. 1240,C. 1246,D. 1266,A. 1236
Which is the national flower of “Bosnia”?,A. Copihue,B. Wild Banana Orchid,C. Plum Blossom,D. Tahitian Gardenia,B. Wild Banana Orchid
Which is the national game of Sri Lanka ?,A. Gushtigiri,B. Taekwondo,C. Volleyball,D. Cricket,C. Volleyball
Deng Xiaoping is famous in  ________ profession.,A. Scientist,B. Politician,C. Actor,D. None,B. Politician
A.R Rehman won oscar award from which film?,A. Lagan,B. Slumdog Millionaire,C. 127 Hours,D. none,B. Slumdog Millionaire
Economies of Scale meaning ?,A. Cost on all products,B. Reduced per unit Cost,C. Higher per unit Cost,D. None of these,B. Reduced per unit Cost
_______was the first cricketer from Bangladesh to score a double century in test Cricket.,A. Mohammad Mithun,B. Mominul Haque,C. Mushfiqur Rahim,D. None of them,C. Mushfiqur Rahim
Who is the first batsman who hit six on the first ball in test match?,A. Shahid Afridi,B. Brendan McCallum,C. Chris Gayle,D. None,C. Chris Gayle
In which year “the lion of Maysor”(Tipu-Sultan) was born?,"A. November 21, 1750","B. November 11, 1750","C. November 13, 1750","D. November 3, 1750","A. November 21, 1750"
In which year did man step out on the moon?,A. 1970,B. 1969,C. 1972,D. 1975,B. 1969
The theme of World Space Week 2019 is _______________________?,"A. “Our Space, Our Time”","B. “The Moon: Gateway to the Stars,”",C. “Space Unites the World”,D. None of these,"B. “The Moon: Gateway to the Stars,”"
"World Space Week (WSW), as declared by the United Nations General Assembly, is held every year during __________ 4-10?","A. October, 4-10","B. November, 4-10","C. December, 4-10","D. January, 4-10","A. October, 4-10"
Who invented the “Cell phone”?,A. Alan Turing,B. Martin Cooper,C. Marie Curie,D. Alexander Graham Bell,B. Martin Cooper
Which is the First Book of Allama Iqbal?,A. Kulyat e Iqbal,B. Shikwa and Jawab-e-Shikwa,C. Javid Nama,D. Ilm ul Iqtisad,D. Ilm ul Iqtisad
The Book “Bang-i-Dara” was written by___________?,A. Jon Elia,B. Mirza Ghalib,C. Faiz Ahmed Faiz,D. Allama Iqbal,D. Allama Iqbal
The Planet which revolves slowly around the Sun is__________?,A. Mercury,B. Mars,C. Earth,D. Neptune,D. Neptune
The “Rising” of the “evening star” indicates the direction of the____________?,A. South Pole,B. East,C. West,D. North,C. West
Which is the only Snake that Builds a Nest?,A. The female King Cobra,B. The female viper,C. The female Anaconda,D. The female mamba,A. The female King Cobra
What is the dimension of basketball court are for the Olympics and world tournaments?,A. 28m×15m,B. 26m×14m,C. 27m×16m,D. 28m×16m,A. 28m×15m
How many stars are in the flag of European Union?,A. 8,B. 12,C. 16,D. 20,B. 12
"How many Countries are members of the “Organisation for Economic Co-operation and Development” (OECD), Which was founded in 1961?",A. 30,B. 36,C. 40,D. 46,B. 36
Al-Jazeera TV Channel belongs to ___________?,A. Qatar,B. Kuwait,C. Egypt,D. Bahrain,A. Qatar
Where Is The Headquarters Of Google Located?,A. Washington,B. Arizona,C. New York,D. California,D. California
Communist Manifesto was originally published in __________language?,A. Chinese,B. English,C. French,D. German,D. German
Nokia Mobile business was acquired by__________?,A. Microsoft,B. Google,C. Yahoo,D. Apple,A. Microsoft
Motorola Mobile business is now own by_________?,A. Microsoft,B. Google,C. Yahoo,D. Lenovo,D. Lenovo
The newest member of the Eurozone is_________?,A. Lithuania,B. Croatia,C. Bulgaria,D. Cyprus,A. Lithuania
"In France, the Bastille Day is celebrated on___________?",A. 14 May,B. 14 June,C. 14 July,D. 14 August,C. 14 July
All African countries are members of African Union except ?,A. Addis Ababa,B. Morocco,C. Cairo,D. Johannesburg,B. Morocco
The presidency of the UN Security Council rotates in alphabetical order among it’s members every ?,A. One month,B. Three months,C. Six months,D. Twelve months,A. One month
Headquarter of the African Union (AU) is located in___________?,A. Johannesburg,B. Cairo,C. Addis Ababa,D. Morocco,C. Addis Ababa
"Usain Bolt, the holder of World record for 100m race, belongs to which Country?",A. Barbados,B. USA,C. China,D. Jamaica,D. Jamaica
Which of the following is not a G-7 Country ?,A. Japan,B. Russia,C. France,D. Italy,B. Russia
Who is Current bowling Coach of Pakistan Cricket Team?,A. Misbah ul Haq,B. Javed mian dad,C. Waqar Younis,D. None,C. Waqar Younis
” Aghia Marina ” is the seaport of ________ ?,A. Greece,B. England,C. Russia,D. Australia,A. Greece
